gen,sid,seed,split,stepping_speed,body_speed_shortfall,foot_sliding,ground_contact_ratio,contact_streak,path_straightness,duration_sec,wants_to_travel,wants_to_stay,intent_unclear,is_mdm,is_motiongpt,is_momask,mm_u000,mm_u025,mm_u050,mm_u075,mm_u100,mm_u125,mm_u150,mm_u200
mdm,002171,20297609,calib,0.008473,0.00021,0.00763477188530491,0.8112,0.54082,0.9999,9.8,0,1,0,1,0,0,1.6631,1.8125,1.9074,1.8974,1.8838,1.9262,2.026,2.4119
mdm,002171,20297610,calib,0.001896,-0.006418,0.006522309398043631,1.0,1.0,1.0,9.8,0,1,0,1,0,0,2.1795,2.2009,2.2724,2.3383,2.3648,2.3463,2.3208,2.3157
mdm,002192,20298608,holdout,0.011749,0.002856,0.011965227564206028,0.9311,0.16929,0.9993,9.8,1,0,0,1,0,0,5.83,5.5749,5.1577,4.6976,4.1785,3.6874,3.3298,2.9096
mdm,002192,20298609,holdout,0.018973,0.009951,0.011806279691104008,0.8827,0.12607,0.9985,9.8,1,0,0,1,0,0,6.0611,5.9742,5.7975,5.5571,5.2817,5.0042,4.6788,3.8358
mdm,002192,20298610,holdout,0.013394,0.004493,0.011101262137457902,0.9005,0.13852,0.9997,9.8,1,0,0,1,0,0,6.0003,5.8709,5.6943,5.4766,5.2116,4.9004,4.5514,3.8333
mdm,002235,20299608,calib,0.014086,0.005533,0.004673496335609361,0.517,0.25852,0.9997,4.4,0,0,1,1,0,0,2.6926,2.7349,2.7862,2.8642,3.0147,3.239,3.4305,3.7655
mdm,002235,20299609,calib,0.020764,0.012069,0.0062917858668388345,0.4375,0.2917,0.9997,4.4,0,0,1,1,0,0,2.3347,2.3325,2.3409,2.4063,2.5337,2.7139,2.9879,3.5028
mdm,002235,20299610,calib,0.014283,0.005628,0.007401371148143426,0.8466,0.33864,0.9995,4.4,0,0,1,1,0,0,2.9813,3.0011,3.0521,3.1092,3.1248,3.1017,3.0636,3.1023
mdm,002357,20300608,calib,0.019231,0.010052,0.00594630538910194,0.5909,0.19693,0.9998,4.4,0,0,1,1,0,0,4.6412,4.5278,4.5228,4.5118,4.4759,4.3952,4.2077,3.7229
mdm,002357,20300609,calib,0.038247,0.028634,0.01337959618471134,0.6648,0.13295,0.9998,4.4,0,0,1,1,0,0,8.1557,7.7431,7.1645,6.5201,5.7794,5.1824,4.8591,4.5666
